Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,31,0.821,0.9800660843044275,0.8151303080969983,0.014855875831485588,0.002927682,0.184869692
FedAvg,TRUE,20,0,32,0.8224,0.9804722775693246,0.8164753898541287,0.015631929046563194,0.003078267,0.18352461
FedAvg,TRUE,20,0,33,0.8234,0.9808375019260597,0.8174667770977235,0.015299334811529933,0.003013758,0.182533223
FedAvg,TRUE,20,0,34,0.8292,0.9812677625393222,0.8242159869785487,0.014301552106430155,0.00281998,0.175784013
FedAvg,TRUE,20,0,35,0.8291,0.9815683841346307,0.8240784625962512,0.015299334811529933,0.003013758,0.175921537
FedAvg,TRUE,20,0,36,0.831,0.9819293301501297,0.8260545564098418,0.014634146341463415,0.002884615,0.173945444
FedAvg,TRUE,20,0,37,0.8347,0.9822017842994752,0.8298731757241902,0.014079822616407982,0.002776867,0.170126824
FedAvg,TRUE,20,0,38,0.8383,0.9826907367662766,0.8339490873477686,0.013414634146341463,0.002647413,0.166050913
FedAvg,TRUE,20,0,39,0.8413,0.982991851,0.8372746405478573,0.013968957871396896,0.002755303,0.162725359
FedAvg,TRUE,20,0,40,0.8412,0.9831084547971823,0.8370480563517637,0.013636363636363636,0.002690583,0.162951944
FedAvg,TRUE,20,0,41,0.8426,0.983442506,0.838639635,0.013858093,0.002733734,0.161360365
FedAvg,TRUE,20,0,42,0.8451,0.9836834906948368,0.8413938626917737,0.012971175166297118,0.002561016,0.158606137
FedAvg,TRUE,20,0,43,0.8454,0.9838234528889735,0.8417673046731062,0.011751662971175166,0.002323033,0.158232695
FedAvg,TRUE,20,0,44,0.8453,0.9838613955076978,0.8414542593101328,0.013192905,0.002604224,0.158545741
FedAvg,TRUE,20,0,45,0.8477,0.9841336611117946,0.8440368138521503,0.012860310421286032,0.002539405,0.155963186
FedAvg,TRUE,20,0,46,0.8492,0.9843382874807188,0.8457385755884574,0.012305986696230599,0.002431278,0.154261424
FedAvg,TRUE,20,0,47,0.8503,0.9846625559291843,0.8471410405216439,0.011640798,0.00230137,0.152858959
