Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,75,0.2964,0.7343626555555555,0.28100938757401583,0.058666666666666666,0.011083123425692695,0.718990612
FedAvg,TRUE,20,0,76,0.293,0.7351778333333332,0.27553978962054415,0.059111111111111114,0.011162400335711288,0.72446021
FedAvg,TRUE,20,0,77,0.2985,0.73594945,0.280565002,0.078333333,0.014528593508500772,0.719434998
FedAvg,TRUE,20,0,78,0.2944,0.7368473666666666,0.2715333203774988,0.094444444,0.017258883248730962,0.72846668
FedAvg,TRUE,20,0,79,0.298,0.737396439,0.278523711,0.094222222,0.017221770917952885,0.721476289
FedAvg,TRUE,20,0,80,0.2997,0.7374694277777778,0.2857189259802039,0.058888888888888886,0.01112277,0.714281074
FedAvg,TRUE,20,0,81,0.2994,0.7379723611111112,0.2876501147074873,0.068111111,0.012753562883595132,0.712349885
FedAvg,TRUE,20,0,82,0.2982,0.7387699833333333,0.2800964389610008,0.069,0.012909260991580917,0.719903561
FedAvg,TRUE,20,0,83,0.2992,0.7393345222222224,0.2835847392058402,0.074333333,0.013838039,0.716415261
FedAvg,TRUE,20,0,84,0.3008,0.7403498944444443,0.28369679758391797,0.10744444444444444,0.019404033309922745,0.716303202
FedAvg,TRUE,20,0,85,0.3013,0.7409117444444445,0.28400704781856534,0.080888889,0.014967105263157896,0.715992952
FedAvg,TRUE,20,0,86,0.3052,0.741534689,0.29335935207742925,0.069,0.012909260991580917,0.706640648
FedAvg,TRUE,20,0,87,0.3054,0.7419705666666666,0.2939292124425931,0.069,0.012909260991580917,0.706070788
FedAvg,TRUE,20,0,88,0.301,0.7428338611111112,0.28110730749806745,0.091444444,0.016756592,0.718892693
FedAvg,TRUE,20,0,89,0.302,0.7429882611111112,0.28223344194549616,0.081888889,0.015138132895142242,0.717766558
FedAvg,TRUE,20,0,90,0.3026,0.7438451500000001,0.28574676368435914,0.086444444,0.015913274698302313,0.714253236
FedAvg,TRUE,20,0,91,0.3052,0.7444518555555556,0.29207343874193453,0.074333333,0.013838039,0.707926561
FedAvg,TRUE,20,0,92,0.3008,0.7446947166666666,0.2789667561947294,0.078333333,0.014528593508500772,0.721033244
FedAvg,TRUE,20,0,93,0.3047,0.7453555000000001,0.28619827748503435,0.092,0.016849816849816852,0.713801723
FedAvg,TRUE,20,0,94,0.3082,0.7460909777777778,0.2959663261181426,0.082666667,0.015270935960591134,0.704033674
FedAvg,TRUE,20,0,95,0.3073,0.7463620777777777,0.2949590650064231,0.060555556,0.011419591,0.705040935
FedAvg,TRUE,20,0,96,0.3108,0.7471785833333333,0.298437738,0.077555556,0.014394721,0.701562262
